State,UnemploymentRate
Alabama,2.6
Alaska,4.6
Arizona,3.3
Arkansas,3.2
California,4.2
Los Angeles-Long Beach-Glendale(1),5.3
Colorado,3.4
Connecticut,4
Delaware,4.5
District of Columbia,5.5
Florida,2.8
Miami-Miami Beach-Kendall(1),2.8
Georgia,2.9
Hawaii,4.3
Idaho,2.5
Illinois,4.5
Chicago-Naperville-Arlington Heights(1),4.3
Indiana,2.4
Iowa,2.6
Kansas,2.4
Kentucky,3.7
Louisiana,3.8
Maine,3
Maryland,4
Massachusetts,3.7
Michigan,4.3
Detroit-Warren-Dearborn(2),4.4
Minnesota,1.8
Mississippi,3.8
Missouri,2.8
Montana,2.6
Nebraska,1.9
Nevada,4.7
New Hampshire,2
New Jersey,3.9
New Mexico,4.9
New York,4.4
New York City,6.2
North Carolina,3.4
North Dakota,2.5
Ohio,3.9
Cleveland-Elyria(2),5.5
Oklahoma,2.9
Oregon,3.6
Pennsylvania,4.5
Rhode Island,2.7
South Carolina,3.2
South Dakota,2.3
Tennessee,3.3
Texas,4.1
Utah,2
Vermont,2.2
Virginia,2.8
Washington,3.9
Seattle-Bellevue-Everett(1),2.6
West Virginia,3.6
Wisconsin,2.9
Wyoming,3.1
Puerto Rico,6.1
